,index,record_name,record_name_2,ref_code,ref_name,ref_unit
11,11,Химический Анкер на основе полиэстра 300 мл Akfix C900 (12шт в упк),Анкер химический 300мл EASF300,20.52.10.190.14.1.06.06-1023-000,Анкер химический двухкомпонентный на основе винилэстеровой смолы,л
12,12,Анкер-шпилька HST3 M16x145 45/25,Анкер-шпилька HILTI HST M16x140/25,25.94.11.190.01.7.15.01-1470-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М12, длина 145 мм",10 шт
13,13,Анкер-шпилька HILTI HSA M8*85 35/25,Распорный анкер HSA M8x85,25.94.11.190.01.7.15.01-1464-000,"Анкер-шпильки стальные оцинкованные фрикционные расклинивающиеся для бетона без трещин, наружная резьба М8, длина 85 мм",10 шт
14,14,2105859 Анкер-шпилька HST3 М16х145 45/25,Анкер-шпилька HILTI HST M16x140/25,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
15,15,Анкер-шпилька HST3 М16х145 45/25(срок постаки 4-6 недель),HST3 М16х145 45 / 25 болт,25.94.11.190.01.7.15.01-1526-000,"Анкер-шпильки стальные оцинкованные фрикционные распорные для бетона с трещинами, сейсмостойкость C1, C2, наружная резьба М16, длина 145 мм",10 шт
16,16,Анкер для бетона с шестигранной головкой с воротником R-LX-14X080-HF-ZP гальваническое покрытие,Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1548-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой для бетона с трещинами, сейсмостойкость C1, C2, диаметр 14 мм, длина 75 мм",100 шт
17,17,Забивной анкер M14/18*60,Анкер втулочный M14,25.94.11.190.01.7.15.01-1533-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм",100 шт
18,18,Анкер-шуруп HUS3-H 14x75 10/-/-,"Анкер со спир.пружиной НСА 5/8""х3 1/2",25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
19,19,Анкер-шуруп HUS4-H 14x75 10/-/-,Анкер-шуруп HUS3-H 14x75 10/-/-,25.94.11.190.01.7.15.01-1131-000,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм",100 шт
20,20,Арматура композитная АСК-6 Н бухта 50 м(срок постаки 1-2 раб дня),Стеклопластиковая арматура АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
21,21,Арматура стеклопластиковая АСК-4,Стеклопластиковая арматура АСК-4,22.23.19.000.11.3.03.16-0081-000,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм",м
22,22,Аэратор кровельный ТехноНИКОЛЬ 160x460мм,Аэратор кровельный  ТехноНИКОЛЬ  160х460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
23,23,Аэратор кровельный ТехноНИКОЛЬ 160х460 мм. Срок поставки 3-4 раочих дня,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
24,24,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x450мм,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
25,25,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x460 мм,Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
26,26,"Аэратор Поливент СУПЕР d-160 мм, высота 470 мм ( в уп.4 шт.)",Аэратор кровельный ТехноНИКОЛЬ ЭКО 160х460 мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
27,27,"Аэратор Поливент Супер д-160 мм,высота 470 мм",Аэратор кровельный  ТехноНИКОЛЬ  160х460мм,22.23.19.000.12.1.01.01-0001-000,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм",шт
28,28,"Волма Монтаж Гипсовая клеевая смесь, 30 кг (45шт/под)","Клей гипсовый тонкослойный ""ВОЛМА-Монтаж или анолог",23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
29,29,"Шпаклевка гипсовая ""Профи База"" De Luxe 25 кг",шпаклевка универсальная гипсовая Weber.Vetonit LR+ или аналог,23.62.10.000.05.3.01.01-1000-000,"База гипсовая гладкая под колонну, высота от 251 до 400 мм",шт
30,30,Балка 14 Б1,Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
31,31,"Балка 14 Б1 (1 шт = 129 кг, L = 12 000 мм)",Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
32,32,"Балка 14 Б1 (12м=131кг,СтЗпс)",Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
33,33,Балка 14 Б1 L=12000мм,Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
34,34,Балка 14 Б1 с.255 СТО-АСЧМ 20-93,Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
35,35,Балка 20 Б1,Двутавр 20Б1С255-4двутавры стальные горячекатаные с параллельными гранями полокГОСТ Р 57837-2017ГОСТ 27772-2015,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
36,36,"Балка 20 Б1, С255",Двутавр 20Б1С255-4двутавры стальные горячекатаные с параллельными гранями полокГОСТ Р 57837-2017ГОСТ 27772-2015,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
37,37,"Балка 20 Б1, стО9Г2С",Двутавр 20Б1 двутавры стальные горячекатаные с параллельными гранями полок ГОСТ Р 57837-2017 С345-5 ГОСТ 27772-2015 ГОСТ Р 57837-2017,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
38,38,Балка двутавровая №14 Б1,Балка 14 с.255 СТО-АСЧМ 20-93,25.11.23.110.07.2.03.01-0002-000,"Балка Б1-А, проект 3.407-115",шт
39,39,Балка монолитная БМ1 (7500x500x400) В25,Балка монолитная ж/ б БМ №1,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
40,40,Балка монолитная БМ2 (6000x500x400) В25,Балка монолитная ж/ б БМ №2,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
41,41,Балка монолитная БМ2(6000*500*400) В25,балка монолитная ж/б БМ№2,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
42,42,Балка монолитная БМ7 (5500x500x350) В25,Балка монолитная ж/ б БМ №7,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
43,43,Балка монолитная БМ7(5500*500*350) В25,балка монолитная ж/б БМ№7,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
44,44,Балка монолитная БМЗ (5000x500x300) В25,Балка монолитная ж/ б БМ №3,23.61.12.123.05.1.03.02-0014-000,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3",м3
45,45,Балка монолитная БМ4 (3500x500x200) В20,Балка монолитная ж/ б БМ №4,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
46,46,Балка монолитная БМ4(3500*500*200) В20,балка монолитная ж/б БМ№4,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
47,47,Балка монолитная БМ5 (2500x500x200) В20,Балка монолитная ж/ б БМ №5,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
48,48,Балка монолитная БМ5(2500*500*200) В20,балка монолитная ж/б БМ№5,23.61.12.122.05.1.03.03-0004-000,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3",м3
49,49,"Бетононасос 120 подача бетона, раствора","Бетононасос 120 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
50,50,"Бетононасос 688 подача бетона, раствора","Бетононасос 688 подача бетона, раствора",28.13.11.140.91.07.11-570-000,"Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч",шт
51,51,120808-00041 Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП 120808-00041 00041 ЗАО «Связьстройдеталь»,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
52,52,"Комплект маркировочный КМП для кабеля, бирки 90x20x2, пластмасса, черный (50 комплектов + 1 маркер) 120808-00041 (СвязьСтройДеталь)",Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП 120808-00041 00041 ЗАО «Связьстройдеталь»,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
53,53,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
54,54,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — 14 дней —,Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
55,55,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — в наличии —,Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
56,56,Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД— в наличии —,Комплект маркировочный пластмассовый (в упаковке 50 комплектов и 1 маркер) ССД КМП ЗАО «Связьстройдеталь» 120808-00041,22.23.19.000.25.2.01.01-0013-000,Бирки кабельные маркировочные пластмассовые У135,100 шт
57,57,Дверь межкомнатная глухая финиш-бумага ламинация цвет белый 90x200 мм,Межкомнатные двери 900х2000,25.12.10.000.07.1.01.01-0022-000,"Блок дверной металлический противопожарный двупольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1300х2100 мм",шт
58,58,(ДМ-2)  дверь металлическая Комплект фурнитуры по ТЗ,"1500х2100, Дверь наружная, двупольная, открывание основной створки-левое, основная створка-900 мм в свету, обе створки активные, оборудована координацией последовательного закрывания полотен; стальная глухая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016; ручка «Антипаника»",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
59,59,(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ,"900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
60,60,(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ Подготовка под ЭМЗ,"1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
61,61,Двери противопожарные 1200x2100. Без учета монтажа.,Двери противопожарные 1200х2100,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
62,62,Двери противопожарные 1200х2100. Без учета монтажа.,Двери противопожарные 1200х2100,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
63,63,Дверь входная металлическая металл/металл 2050х960х45 мм правая,Дверь  90x200 мм ( комплект),25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
64,64,"Дверь металлическая, наруж., двупол. 1500*2100","1500х2100, Дверь наружная, двупольная, открывание основной створки-левое, основная створка-900 мм в свету, обе створки активные, оборудована координацией последовательного закрывания полотен; стальная глухая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016; ручка «Антипаника»",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
65,65,"Дверь металлическая, однопол., пр. 1050*2100","1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
66,66,"Дверь металлическая, однопол., пр. 1070*2110","1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
67,67,"Дверь металлическая, однопол., пр. 900*1300","900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
68,68,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1010*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
69,69,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1040*2090(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
70,70,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик, вент.решетка 600*200(5) мм","1100х2100, Дверь наружная, однопольная стальная глухая правая с вентрешеткой 150х150мм, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
71,71,"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","1100х2100, Дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016",25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
72,72,Лестница металлическая ВЛ-3 (покраска ГФ021 два слоя),Лестница металлическая ВЛ -3 ГОСТ 5264-2022,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
73,73,Накладка дверная Фабрика замков Е 002 алюминий,Межкомнатные двери 900х2000,25.12.10.000.07.1.01.01-0001-000,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм",шт
74,74,"1100х2100, Дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016","1100х2100, Дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016",25.12.10.000.07.1.01.01-1010-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм",шт
75,75,"1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
76,76,"1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
77,77,"900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30",25.12.10.000.07.1.01.01-0026-000,"Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм",шт
78,78,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130 мм","1050x2100, Дверь влагостойкая однопольная, правая, глухая, мдф с отделкой из CPL, цвет Ral 9010 (уточняется дизайн-проектом), нажимная гарнитура с обеих сторон, замок цилиндровый, уплотнитель резиновый, опускающийся порог, петли скрытые, с облицовкой телескопическими наличниками 70х10мм с двух сторон, CPL отделка, толщина стены 130 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
79,79,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130-250 мм","1050х2100, Дверь влагостойкая однопольная, правая, глухая, мдф с отделкой из CPL, цвет Ral 9010 (уточняется дизайн-проектом), нажимная гарнитура с обеих сторон, замок цилиндровый, уплотнитель резиновый, опускающийся порог, петли скрытые, с облицовкой телескопическими наличниками 70х10мм с двух сторон, CPL отделка, толщина стены 130-250 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
80,80,"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 250 мм","1050х2100, Дверь влагостойкая однопольная, правая, глухая, мдф с отделкой из CPL, цвет Ral 9010 (уточняется дизайн-проектом), нажимная гарнитура с обеих сторон, замок цилиндровый, уплотнитель резиновый, опускающийся порог, петли скрытые, с облицовкой телескопическими наличниками 70х10мм с двух сторон, CPL отделка, толщина стены 250 мм",25.12.10.000.07.1.01.01-0010-000,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм",шт
